Gebiet,Einwohner 2013,Einwohner 2012,Saldo Einwohnerentwicklung in Personen,Saldo Einwohner Wachstum Prozent,Saldo aus Geburten und Sterbefällen in Personen,Saldo aus Geburten und Sterbefällen in Prozent,Saldo aus innerstädtischen Zu- und Wegzügen,Saldo aus außerstädtischen Zu- und Wegzügen,Saldo Zu- und Wegzüge insgesamt,Saldo Zu- und Wegzüge in Prozent,Durchschnittsalter
Zentrum,1739,1703,36,2.1,-37,-2.1,-35,121,86,5.0,47
Zentrum-Ost,3980,3750,230,6.1,-31,-0.8,75,195,270,7.2,43.4
Zentrum-Südost,11515,11118,397,3.6,-11,-0.1,-177,592,415,3.7,40.3
Zentrum-Süd,11955,11647,308,2.6,51,0.4,-45,289,244,2.1,41.8
Zentrum-West,9986,9624,362,3.8,106,1.1,0,265,265,2.8,38.6
Zentrum-Nordwest,10024,9884,140,1.4,65,0.6,-57,150,93,0.9,37.6
Zentrum-Nord,8184,8139,45,0.6,-11,-0.1,-160,231,71,0.9,41.4
Schönefeld-Abtnaundorf,11177,10837,340,3.1,56,0.5,-4,314,310,2.9,39.3
Schönefeld-Ost,9190,9056,134,1.5,-72,-0.8,36,167,203,2.2,54.3
Mockau-Süd,4169,4179,-10,-0.2,3,0.1,-67,48,-19,-0.5,43.8
Mockau-Nord,10611,10583,28,0.3,-74,-0.7,51,53,104,1.0,50.7
Thekla,5552,5476,76,1.4,-113,-2.0,170,21,191,3.5,52.9
Plaußig-Portitz,2617,2609,8,0.3,-8,-0.3,1,26,27,1.0,48.1
Neustadt-Neuschönefeld,10618,10006,612,6.1,67,0.6,-19,617,598,6.0,36.8
Volkmarsdorf,8979,8451,528,6.2,-14,-0.2,-35,617,582,6.9,38.6
Anger-Crottendorf,10052,9795,257,2.6,42,0.4,-28,247,219,2.2,39.2
Sellerhausen-Stünz,7865,7706,159,2.1,-60,-0.8,83,155,238,3.1,49.5
Paunsdorf,13525,13604,-79,-0.6,-111,-0.8,-150,167,17,0.1,46.6
Heiterblick,3611,3910,-299,,-2,,59,-12,47,,51
Mölkau,5852,5869,-17,-0.3,-38,-0.6,13,17,30,0.5,51.1
Engelsdorf,8859,8516,343,,-52,,38,35,73,,46.1
Baalsdorf,1718,1697,21,1.2,10,0.6,36,-25,11,0.6,43.7
Althen-Kleinpösna,2093,2058,35,1.7,-53,-2.5,15,77,92,4.5,45.5
Reudnitz-Thonberg,19291,18717,574,3.1,-24,-0.1,-99,675,576,3.1,37.9
Stötteritz,15266,14995,271,1.8,-15,-0.1,31,261,292,1.9,42.1
Probstheida,6033,5946,87,1.5,-79,-1.3,125,59,184,3.1,51.4
Meusdorf,3400,3422,-22,-0.6,-8,-0.2,-26,6,-20,-0.6,48.3
Liebertwolkwitz,5263,5224,39,0.7,-29,-0.6,32,31,63,1.2,47.3
Holzhausen,6217,6184,33,0.5,-40,-0.6,69,15,84,1.4,48.6
Südvorstadt,24007,23570,437,1.9,252,1.0,-418,577,159,0.7,36.8
Connewitz,17971,17679,292,1.7,91,0.5,-72,265,193,1.1,39.2
Marienbrunn,5845,5686,159,2.8,-12,-0.2,62,117,179,3.1,50.2
Lößnig,10911,10869,42,0.4,-62,-0.6,-84,201,117,1.1,49.7
Dölitz-Dösen,4535,4471,64,1.4,-25,-0.6,15,71,86,1.9,44.6
Schleußig,12546,12463,83,0.7,180,1.4,-274,178,-96,-0.8,35.3
Plagwitz,14095,13236,859,6.5,57,0.4,286,556,842,6.4,38.5
Kleinzschocher,9041,8887,154,1.7,24,0.3,-82,230,148,1.7,41.6
Großzschocher,8954,8941,13,0.1,-51,-0.6,24,41,65,0.7,51.2
Knautkleeberg-Knauthain,5242,5185,57,1.1,2,0.0,29,35,64,1.2,45.6
Hartmannsdorf-Knautnaundorf,1335,1308,27,2.1,-5,-0.4,-10,52,42,3.2,45.5
Schönau,4108,4180,-72,-1.7,-29,-0.7,-59,24,-35,-0.8,49.2
Grünau-Ost,7397,7339,58,0.8,-99,-1.3,25,131,156,2.1,55.2
Grünau-Mitte,11801,11826,-25,-0.2,-95,-0.8,-60,116,56,0.5,49
Grünau-Siedlung,3800,3888,-88,-2.3,-58,-1.5,2,-30,-28,-0.7,52.6
Lausen-Grünau,11995,11702,293,2.5,-85,-0.7,166,219,385,3.3,48.1
Grünau-Nord,7957,7936,21,0.3,-22,-0.3,-38,76,38,0.5,45.4
Miltitz,1882,1882,0,0.0,-6,-0.3,-4,14,10,0.5,47.9
Lindenau,6980,6581,399,6.1,61,0.9,30,311,341,5.2,35.4
Altlindenau,14558,13860,698,5.0,84,0.6,68,576,644,4.6,37.3
Neulindenau,6120,5896,224,3.8,-31,-0.5,133,130,263,4.5,46.4
Leutzsch,9456,9274,182,2.0,19,0.2,-76,231,155,1.7,43.4
Böhlitz-Ehrenberg,10089,9985,104,1.0,-33,-0.3,87,65,152,1.5,46.6
Burghausen-Rückmarsdorf,4790,4758,32,0.7,-5,-0.1,17,33,50,1.1,48.4
Möckern,13172,12815,357,2.8,-5,0.0,88,287,375,2.9,45
Wahren,6536,6212,324,5.2,-35,-0.5,166,198,364,5.9,47.4
Lützschena-Stahmeln,3945,3952,-7,-0.2,-5,-0.1,-15,14,-1,0.0,47.7
Lindenthal,6293,6244,49,0.8,-8,-0.1,0,59,59,0.9,46
Gohlis-Süd,17394,16938,456,2.7,137,0.8,-52,347,295,1.7,39.2
Gohlis-Mitte,15638,15198,440,2.9,124,0.8,-109,415,306,2.0,39.8
Gohlis-Nord,8379,8213,166,2.0,-51,-0.6,84,129,213,2.6,51.1
Eutritzsch,12572,12296,276,2.2,-6,0.0,35,246,281,2.3,42.8
Seehausen,2238,2189,49,2.2,3,0.1,25,22,47,2.1,41.9
Wiederitzsch,8422,8375,47,0.6,-6,-0.1,81,0,81,1.0,45.2