name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußg-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Zentrum,35,19,14,10,13,7,11,.,0,0,.,.,.,8,4,3,.,.,0,0,4,0,.,10,.,0,0,0,0,13,6,0,.,3,.,.,.,0,5,0,.,0,.,.,.,.,0,4,9,.,.,.,0,3,.,.,0,6,7,.,8,0,.
Zentrum-Ost,6,63,29,10,6,18,14,5,5,.,4,6,0,34,4,13,.,11,0,3,.,0,.,18,6,7,.,.,0,16,6,.,8,5,5,8,4,.,0,0,0,0,4,.,6,.,0,4,13,.,.,.,0,13,.,.,0,11,11,.,3,0,.
Zentrum-Südost,36,90,353,60,31,25,29,17,.,3,8,4,.,28,26,30,13,20,6,4,.,0,0,73,32,.,.,5,3,75,42,23,46,53,20,17,13,6,.,0,4,12,30,.,4,28,0,12,31,4,8,.,.,13,4,.,.,25,9,.,23,0,.
Zentrum-Süd,13,71,50,187,55,32,21,4,5,.,5,3,0,19,16,10,4,17,.,.,3,3,0,44,18,7,3,5,.,196,49,6,13,11,33,37,12,8,0,0,3,4,16,.,8,.,0,11,10,.,4,.,3,16,.,0,3,34,18,.,3,0,4
Zentrum-West,27,18,40,64,234,101,42,10,4,3,3,3,0,22,20,9,4,14,4,5,4,0,0,24,14,3,.,4,5,62,17,6,5,8,38,22,3,.,.,.,3,9,23,5,14,6,.,18,37,.,27,3,.,12,3,.,3,38,21,6,11,.,10
Zentrum-Nordwest,17,8,32,33,84,270,37,5,7,.,5,.,.,14,18,11,3,4,4,.,.,0,.,28,18,.,5,7,0,59,13,3,6,6,22,21,8,5,5,3,3,4,5,.,5,10,3,19,19,.,13,4,.,22,12,.,10,66,35,7,15,0,5
Zentrum-Nord,37,31,35,22,21,27,142,6,8,.,6,5,.,15,15,14,5,6,0,8,3,0,4,43,13,3,.,0,.,29,12,5,5,10,10,8,4,.,.,0,.,3,7,.,7,3,0,16,28,.,7,.,3,10,3,.,4,68,30,9,28,.,4
Schönefeld-Abtnaundorf,3,11,3,7,4,8,18,466,61,34,47,8,0,49,58,13,15,25,10,6,9,3,8,25,15,.,.,.,5,15,14,4,6,3,8,13,5,4,3,0,.,.,8,5,6,8,0,12,31,.,24,3,0,9,6,0,.,29,18,6,25,.,9
Schönefeld-Ost,.,8,7,4,5,7,6,130,246,11,14,11,.,23,37,8,15,38,6,0,6,0,4,20,5,0,.,0,0,9,.,0,.,0,.,4,0,.,0,0,.,.,5,0,7,10,0,.,10,0,3,5,0,14,.,.,.,4,13,8,9,3,.
Mockau-Süd,.,5,4,0,.,.,.,35,9,136,71,9,4,5,18,7,0,10,.,.,.,0,0,.,6,.,.,.,.,8,.,0,.,0,4,.,.,.,0,0,0,0,.,0,3,.,0,.,4,.,5,0,.,3,4,0,.,15,12,4,21,.,5
Mockau-Nord,.,4,.,.,4,0,8,39,15,90,345,18,5,8,24,8,5,11,.,4,5,.,.,20,6,0,.,0,0,4,5,.,5,.,3,13,3,5,.,0,8,4,.,0,8,8,0,6,9,.,.,.,0,10,.,0,.,11,25,13,25,4,4
Thekla,0,.,.,.,8,3,0,40,24,15,45,104,12,5,8,.,.,5,.,3,0,0,3,12,6,0,0,.,0,.,9,0,3,0,0,7,4,.,0,0,0,.,8,0,.,4,0,3,4,3,.,.,0,3,0,.,.,3,12,10,7,10,7
Plaußig-Portitz,.,0,.,.,.,0,0,9,4,.,15,8,37,.,0,4,0,7,.,0,0,0,0,.,6,0,.,0,0,0,0,0,0,0,.,.,0,0,0,0,0,3,0,0,0,4,0,0,.,0,0,.,0,0,.,0,0,11,8,0,0,.,0
Neustadt-Neuschönefeld,5,33,46,14,12,12,22,46,8,3,6,7,.,349,127,66,16,22,.,0,4,.,0,97,36,5,.,.,7,39,14,8,18,77,15,19,6,.,3,0,7,3,22,0,14,7,.,18,15,.,5,22,3,14,.,4,.,30,23,3,13,.,9
Volkmarsdorf,3,11,16,11,16,.,15,29,26,8,4,5,0,158,356,72,43,45,3,3,7,.,.,69,20,.,4,.,.,16,14,5,5,77,11,14,16,.,0,0,4,5,15,0,5,8,.,15,25,0,10,12,.,13,.,.,.,17,13,3,30,0,14
Anger-Crottendorf,4,18,41,14,12,7,6,30,12,20,.,9,0,66,54,330,22,33,0,15,7,3,.,168,66,7,8,4,7,26,20,4,16,33,13,11,11,7,.,0,4,5,6,.,4,6,.,19,18,7,10,7,0,9,3,.,4,17,12,4,15,.,8
Sellerhausen-Stünz,.,7,11,3,3,4,10,19,23,13,6,5,0,31,59,34,219,93,5,12,19,0,.,39,21,.,4,0,.,12,3,3,6,8,9,9,4,.,0,0,3,4,5,0,7,8,.,.,25,.,15,4,.,3,.,4,0,12,4,0,8,0,0
Paunsdorf,.,6,.,12,8,.,.,52,24,5,17,9,.,31,48,25,59,690,55,10,60,.,12,33,17,6,3,7,5,13,6,5,12,17,4,11,13,4,.,0,.,.,4,.,17,3,.,.,20,.,7,11,0,19,.,0,4,20,6,3,18,5,7
Heiterblick,0,0,.,.,0,9,4,6,8,.,6,0,.,5,6,11,10,118,64,.,23,0,.,.,11,0,0,.,0,3,4,.,3,0,0,.,0,0,0,0,.,.,.,0,5,4,0,0,5,.,.,0,0,.,0,0,0,0,3,.,.,0,.
Mölkau,0,.,.,6,6,.,3,13,3,0,.,.,0,6,5,33,22,17,.,99,24,.,5,34,38,11,0,4,8,9,.,3,7,0,4,.,.,4,.,.,0,0,.,0,0,6,0,6,.,.,.,0,.,0,.,0,.,3,9,3,9,0,0
Engelsdorf,0,3,0,3,5,4,4,17,8,.,7,7,0,8,3,11,10,68,10,19,314,3,21,18,17,3,0,4,6,10,6,0,4,.,.,4,7,0,0,0,0,4,10,.,.,.,.,.,6,.,4,.,.,.,5,0,.,7,9,.,3,3,.
Baalsdorf,.,0,4,6,0,0,0,0,0,.,0,0,0,5,.,13,7,.,0,7,17,11,.,9,8,.,0,0,0,3,.,0,0,.,.,0,0,0,0,0,0,0,.,0,0,0,0,.,.,0,0,.,0,0,0,0,0,0,0,0,0,0,.
Althen-Kleinpösna,.,0,5,.,0,4,.,0,.,8,4,.,0,0,3,4,.,15,.,14,14,3,45,4,0,0,.,0,.,0,.,0,0,.,0,0,.,0,0,0,0,0,.,0,0,0,0,.,3,0,.,4,0,0,0,0,.,4,0,0,3,0,0
Reudnitz-Thonberg,4,27,126,37,33,25,24,22,14,6,10,6,4,104,80,123,24,29,11,12,15,6,.,593,147,14,9,16,7,82,47,7,36,39,25,23,.,.,.,.,3,4,21,6,20,9,.,18,35,5,8,13,0,17,.,.,3,27,32,5,22,0,16
Stötteritz,.,15,42,10,7,10,13,8,10,.,6,.,.,35,33,70,14,23,.,12,16,4,.,155,523,40,14,10,17,66,34,14,15,23,22,8,13,9,.,0,.,4,13,5,14,8,.,3,17,5,10,6,.,12,9,.,.,21,20,.,13,0,5
Probstheida,.,11,14,14,.,11,3,9,8,3,5,6,0,16,6,21,11,14,0,6,4,0,.,30,45,139,35,17,8,21,16,16,43,6,5,7,4,3,0,0,.,3,7,.,9,6,0,3,.,8,5,4,5,.,0,0,.,5,10,4,3,0,3
Meusdorf,.,.,5,0,.,4,.,3,3,.,3,.,0,.,.,7,.,3,0,.,.,0,0,8,8,40,59,15,3,5,.,0,8,9,.,.,3,5,0,0,.,0,3,0,0,.,0,3,4,.,3,.,0,4,.,.,0,5,.,3,3,0,0
Liebertwolkwitz,0,.,5,.,.,6,.,4,3,0,0,0,0,5,.,5,.,6,.,0,5,.,0,11,8,15,11,190,24,9,.,7,10,6,0,10,.,0,.,0,.,0,6,0,3,.,0,4,5,0,.,0,0,.,.,0,0,0,8,0,.,0,4
Holzhausen,.,3,3,3,5,4,0,3,0,.,0,0,.,4,3,4,4,3,0,4,.,.,4,31,33,8,.,16,157,8,.,0,7,0,3,.,4,0,.,0,0,.,7,0,6,.,0,.,.,0,0,.,0,0,4,0,.,5,4,.,.,.,0
Südvorstadt,6,17,109,206,79,51,37,12,5,7,10,3,.,38,28,26,11,12,5,9,5,.,3,101,48,5,4,6,8,1027,277,16,43,33,80,33,36,7,3,0,5,7,14,6,14,12,.,25,51,7,20,7,0,11,7,3,.,55,36,10,15,5,4
Connewitz,9,7,49,70,27,16,17,12,8,.,3,.,.,32,13,26,11,7,.,6,5,0,.,48,21,5,4,8,5,372,806,18,65,46,43,35,14,10,4,0,5,5,11,0,6,14,.,25,23,8,7,7,.,11,5,.,.,23,13,0,18,3,.
Marienbrunn,5,.,12,0,0,3,4,.,4,.,0,0,0,6,4,9,4,.,0,0,.,0,0,11,10,4,0,0,0,29,32,99,49,7,.,7,.,0,0,0,0,4,4,0,.,4,3,3,4,0,.,.,0,.,.,0,0,4,.,0,.,0,0
Lößnig,5,3,16,9,8,3,22,9,3,.,7,4,.,10,8,4,5,15,6,.,.,0,0,8,17,14,7,0,8,62,96,69,517,80,6,6,8,4,.,0,3,17,3,.,4,19,0,7,10,.,9,.,.,8,5,.,.,9,8,3,8,0,0
Dölitz-Dösen,0,.,6,11,3,.,0,.,.,.,3,.,.,5,3,4,0,.,0,.,0,0,0,10,3,0,.,8,4,22,52,8,55,85,12,.,5,3,0,0,0,.,4,0,12,.,0,8,5,0,4,3,0,0,0,0,0,3,13,0,.,0,0
Schleußig,.,7,28,50,42,46,21,3,.,.,.,.,0,14,11,16,.,7,4,4,4,0,.,37,6,0,3,.,.,101,50,4,6,6,418,129,59,10,10,.,.,5,11,4,20,20,.,26,50,8,17,8,4,11,.,3,3,25,14,0,6,.,0
Plagwitz,4,5,32,35,36,39,33,11,4,4,12,9,.,34,13,20,18,16,.,4,7,0,.,31,11,3,4,3,.,83,46,3,10,10,178,426,144,26,13,.,11,13,33,6,50,25,3,92,103,31,31,4,.,23,6,3,6,27,26,7,3,0,.
Kleinzschocher,4,4,13,12,4,4,11,11,.,.,6,0,.,18,18,6,.,51,.,4,.,.,0,17,4,5,.,.,0,26,12,.,12,.,80,127,359,62,18,3,9,17,47,13,44,24,.,41,47,16,16,9,5,13,.,.,4,18,10,.,9,0,5
Großzschocher,0,.,9,.,8,7,4,3,4,0,5,.,0,8,5,.,.,8,0,0,0,0,0,10,9,0,3,.,0,13,6,0,8,6,34,40,68,242,33,12,12,7,30,8,23,22,0,10,15,4,7,8,.,4,6,0,0,6,5,.,3,.,3
Knautkleeberg-Knauthain,.,0,.,0,.,3,.,0,.,0,.,0,0,.,.,0,.,5,0,0,0,0,0,5,.,.,0,0,0,11,0,.,3,0,29,21,41,65,91,8,0,6,4,0,17,.,.,7,8,5,4,0,4,6,.,.,.,.,0,4,0,0,0
Hartmannsdorf-Knautnaundorf,0,0,.,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,3,4,0,3,18,5,5,12,0,.,0,0,.,.,.,.,.,0,0,0,0,0,0,.,0,3,0,.,0,0,0
Schönau,0,.,8,0,0,.,.,3,0,.,.,.,0,.,6,7,0,5,0,.,.,0,0,6,4,0,.,0,0,.,6,0,4,3,.,6,20,10,0,0,100,33,105,10,67,40,7,7,15,10,9,9,.,6,0,0,.,7,3,0,4,0,4
Grünau-Ost,0,0,9,6,0,.,.,6,.,0,0,.,3,.,4,5,0,3,0,0,3,0,0,0,.,0,0,.,0,7,6,0,.,0,4,16,8,.,.,0,19,122,88,3,45,43,.,11,23,12,4,8,3,.,0,.,0,.,.,.,4,0,0
Grünau-Mitte,3,4,16,5,13,.,14,5,.,0,5,9,0,11,11,4,3,12,.,6,4,0,0,9,11,3,7,0,.,5,9,.,20,23,8,34,51,16,5,0,48,42,587,20,143,61,4,22,46,10,13,10,.,10,9,0,.,8,5,7,8,.,.
Grünau-Siedlung,3,.,4,0,3,4,0,3,.,0,0,0,0,.,3,0,.,0,0,0,0,0,.,.,3,0,0,0,0,.,4,.,.,0,5,3,12,7,7,0,3,7,35,36,40,10,8,6,6,7,7,3,.,5,0,.,0,5,.,.,4,0,.
Lausen-Grünau,3,4,3,6,7,.,3,3,5,.,7,.,0,3,13,5,3,12,0,0,3,0,0,8,11,6,4,6,.,10,15,.,10,3,12,22,48,16,.,4,18,23,78,21,664,86,14,7,41,12,18,10,12,21,3,.,.,3,4,6,6,0,.
Grünau-Nord,.,6,5,6,3,7,5,6,.,7,9,.,0,7,9,5,9,15,0,0,.,0,0,7,5,4,.,0,.,9,7,3,11,7,6,35,9,9,.,.,18,14,82,.,97,357,11,26,45,19,21,6,6,14,7,0,.,14,5,.,5,0,3
Miltitz,0,0,.,.,.,0,0,0,.,0,.,0,0,0,.,0,0,.,0,.,.,0,0,.,0,0,0,0,0,.,0,.,0,0,3,0,0,0,.,0,4,4,8,0,9,21,19,3,8,.,.,0,3,0,7,0,0,0,.,0,.,0,0
Lindenau,3,3,11,10,26,17,16,14,4,0,4,.,0,18,11,9,3,9,.,4,4,0,0,10,11,.,3,.,3,28,21,.,6,6,39,74,37,9,4,.,8,9,35,3,22,33,.,237,136,31,31,23,.,10,4,.,.,16,10,5,7,0,5
Altlindenau,14,11,22,23,37,34,21,19,4,3,14,4,0,28,38,14,13,22,.,4,4,.,0,26,21,3,.,.,0,61,18,4,16,19,36,109,49,16,6,.,20,20,43,6,32,66,6,141,687,51,185,39,15,21,17,5,5,32,14,13,20,.,9
Neulindenau,0,.,7,8,.,.,4,0,0,.,.,.,0,7,3,.,0,.,0,0,0,0,0,8,.,3,3,0,0,.,.,0,.,4,19,21,18,9,.,0,7,17,38,4,21,24,0,17,57,209,15,10,.,4,9,0,0,8,6,3,8,0,.
Leutzsch,.,7,15,16,5,17,6,9,4,5,3,3,0,19,12,9,5,4,.,.,4,0,0,11,8,.,.,.,.,17,4,0,.,18,6,19,9,8,.,.,6,5,34,0,27,21,5,34,201,9,326,28,10,13,8,3,8,17,8,4,4,0,6
Böhlitz-Ehrenberg,0,.,.,6,.,16,0,6,.,.,3,.,4,.,.,9,3,.,.,0,.,0,0,13,8,.,0,.,0,10,5,0,3,59,12,16,10,.,.,0,6,6,20,.,20,15,0,9,55,21,77,476,38,20,9,4,3,18,10,7,3,0,4
Burghausen-Rückmarsdorf,0,0,.,5,0,6,.,0,0,0,3,0,0,.,4,.,0,.,0,.,.,0,0,0,0,0,.,0,0,0,3,0,4,0,5,9,9,.,0,0,.,10,14,.,19,12,0,3,33,4,5,47,80,.,4,.,0,.,.,0,0,0,6
Möckern,4,.,9,4,7,5,28,8,11,6,11,3,.,16,13,14,12,10,.,0,9,0,0,29,16,.,6,0,.,15,6,.,6,6,7,8,12,4,.,0,.,5,12,.,11,8,0,6,20,9,9,10,4,494,85,4,32,142,62,41,38,7,14
Wahren,6,0,.,5,.,5,3,11,4,.,10,4,0,3,4,3,.,8,0,0,.,0,3,5,.,0,0,0,0,6,3,0,3,0,0,4,4,3,.,.,.,5,5,0,13,10,0,.,10,3,13,4,.,81,160,28,43,32,22,8,11,6,9
Lützschena-Stahmeln,0,0,5,.,0,5,.,.,6,0,3,0,0,4,0,.,0,0,0,0,.,0,0,5,6,0,0,0,3,.,4,0,0,0,0,5,.,.,0,0,.,0,.,0,3,3,0,0,0,0,9,3,.,15,18,80,.,4,4,.,0,.,.
Lindenthal,0,3,.,3,0,12,.,8,3,0,8,.,0,5,.,3,5,5,.,0,0,0,0,11,0,.,0,0,0,5,0,0,0,4,0,3,5,.,0,0,.,.,3,0,8,.,0,.,5,.,7,6,.,17,43,.,197,25,20,16,.,.,21
Gohlis-Süd,6,19,31,36,43,77,96,27,9,3,14,3,.,46,21,17,14,19,6,6,5,0,.,42,28,6,.,5,3,56,24,4,11,11,20,30,16,6,.,0,4,4,16,5,22,16,.,17,36,.,16,19,.,90,24,7,10,505,196,40,37,3,23
Gohlis-Mitte,8,10,11,12,7,53,55,17,11,10,20,8,.,16,15,14,5,13,5,6,5,0,.,36,18,4,.,.,4,27,19,6,7,11,9,15,13,4,0,0,4,5,21,4,7,12,.,13,36,6,13,0,0,67,21,4,9,168,499,89,131,8,22
Gohlis-Nord,3,0,.,7,.,.,15,6,6,5,21,0,3,6,6,5,0,7,.,.,3,0,.,11,0,.,.,0,0,6,.,.,6,0,.,.,3,3,.,0,.,3,3,.,5,6,.,.,.,.,4,.,.,25,18,4,16,47,119,140,43,6,18
Eutritzsch,10,11,20,3,15,21,44,27,7,20,32,3,.,20,23,17,10,13,4,.,3,.,.,12,8,.,3,0,3,14,15,.,17,3,12,15,7,4,.,0,0,3,5,0,8,11,.,9,18,4,8,7,.,29,12,.,11,77,113,38,458,3,29
Seehausen,0,.,0,0,.,0,0,0,3,.,7,.,.,5,0,0,4,3,0,0,0,0,0,7,0,0,0,.,.,5,.,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,4,.,0,0,0,3,0,0,.,0,.,9,.,.,63,5
Wiederitzsch,0,7,0,7,5,8,6,11,4,5,16,4,0,5,8,.,3,6,.,0,4,0,0,11,6,0,0,0,3,10,7,.,4,22,4,9,4,.,.,.,.,.,14,0,.,7,0,4,8,0,12,.,0,17,9,0,25,41,46,27,57,12,146
